timestamp,thrust,roll_deg,pitch_deg,yaw_deg,roll_feedback,pitch_feedback,yaw_feedback,servo1_raw,servo2_raw,servo3_raw,servo4_raw
1.2350447177886963,0.05,0.0,0.0,0.0,-0.14232099858109948,-1.8806296221566,-0.6567707134643277,1000,1000,1000,1000
1.443406343460083,0.05,0.0,0.0,0.0,-0.14232099858109948,-1.8806296221566,-0.6567707134643277,1000,1000,1000,1000
1.6473982334136963,0.05,0.0,0.0,0.0,-0.14232099858109948,-1.8806296221566,-0.6567707134643277,1000,1000,1000,1000
1.8500356674194336,0.05,0.0,0.0,0.0,-0.14232099858109948,-1.8806296221566,-0.6567707134643277,1000,1000,1000,1000
2.0530004501342773,0.05,0.0,0.0,0.0,-0.14232099858109948,-1.8806296221566,-0.6567707134643277,1000,1000,1000,1000
2.257096290588379,0.05,0.0,0.0,0.0,-0.14232099858109948,-1.8806296221566,-0.6567707134643277,1000,1000,1000,1000
2.4617040157318115,0.05,0.0,0.0,0.0,-0.14232099858109948,-1.8806296221566,-0.6567707134643277,1000,1000,1000,1000
2.672769069671631,0.05,0.0,0.0,0.0,-0.14232099858109948,-1.8806296221566,-0.6567707134643277,1000,1000,1000,1000
2.875704765319824,0.05,0.0,0.0,0.0,-0.14232099858109948,-1.8806296221566,-0.6567707134643277,1000,1000,1000,1000
3.079331159591675,0.05,0.0,0.0,0.0,-0.14232099858109948,-1.8806296221566,-0.6567707134643277,1000,1000,1000,1000
3.3019537925720215,0.05,0.0,0.0,0.0,-0.14232099858109948,-1.8806296221566,-0.6567707134643277,1000,1000,1000,1000
3.507183074951172,0.05,0.0,0.0,0.0,-0.1407420909647026,-1.8739232301652937,-0.6789422545621295,1168,1127,1168,1168
3.7101778984069824,0.060000000000000005,0.0,0.0,0.0,-0.1407420909647026,-1.8739232301652937,-0.6789422545621295,1168,1127,1168,1168
3.9131431579589844,0.060000000000000005,0.0,0.0,0.0,-0.1407420909647026,-1.8739232301652937,-0.6789422545621295,1168,1127,1168,1168
4.117810964584351,0.060000000000000005,0.0,0.0,0.0,-0.1407420909647026,-1.8739232301652937,-0.6789422545621295,1168,1127,1168,1168
4.320587158203125,0.07,0.0,0.0,0.0,-0.1407420909647026,-1.8739232301652937,-0.6789422545621295,1168,1127,1168,1168
4.524063348770142,0.07,0.0,0.0,0.0,-0.1407420909647026,-1.8739232301652937,-0.6789422545621295,1168,1127,1168,1168
