x,y,z
0.0,0.0,1.5
-3.9478287725769334e-05,0.012566287931117902,1.5
-0.00015791159236777652,0.025132079766705215,1.5
-0.00035529523838206956,0.03769687943081635,1.5
-0.0006316214334001202,0.05026019088667496,1.5
-0.0009868792685368,0.06282151815625658,1.5
-0.0014210547188215905,0.07538036533986908,1.5
-0.0019341306437505867,0.0879362366357298,1.5
-0.002526086787965065,0.10048863635953911,1.5
-0.0031968997820499556,0.11303706896404905,1.5
-0.003946543143456882,0.12558103905862675,1.5
-0.004774987277549547,0.13812005142881156,1.5
-0.005682199478772132,0.15065361105586544,1.5
-0.0066681439319402624,0.1631812231363151,1.5
-0.00773278171365499,0.17570239310148633,1.5
-0.008876070793840007,0.18821662663702862,1.5
-0.010097966037399653,0.2007234297024298,1.5
-0.011398419206002153,0.21322230855051982,1.5
-0.01277737895998321,0.22571276974696336,1.5
-0.014234790860372604,0.23819432018973946,1.5
-0.015770597371044248,0.2506664671286085,1.5
-0.01738473786098682,0.263128718184565,1.5
-0.019077148606697625,0.2755805813692761,1.5
-0.020847762794698133,0.28802156510450433,1.5
-0.022696510524171876,0.3004511782415141,1.5
-0.02462331880972446,0.31286893008046174,1.5
-0.026628111584263925,0.3252743303897672,1.5
-0.028710809702003903,0.33766688942546774,1.5
-0.030871330941589337,0.35004611795055207,1.5
-0.03310959000934055,0.3624115272542747,1.5
-0.03542549854262256,0.3747626291714492,1.5
-0.037818965113331826,0.38709893610172047,1.5
-0.04028989523150628,0.39941996102881405,1.5
-0.042838191349055865,0.41172521753976266,1.5
-0.04546375286361304,0.42401421984410925,1.5
-0.04816647612250513,0.4362864827930851,1.5
-0.05094625442684575,0.44854152189876234,1.5
-0.05380297803574696,0.46077885335318114,1.5
-0.05673653417065205,0.47299799404744935,1.5
-0.059746807019788406,0.4851984615908148,1.5
-0.06283367774273785,0.4973797743297096,1.5
-0.06599702447512978,0.5095414513667642,1.5
-0.06923672233345224,0.5216830125797939,1.5
-0.07255264341998058,0.5338039786407511,1.5
-0.07594465682782814,0.5459038710346503,1.5
-0.07941262864611387,0.5579822120784586,1.5
-0.08295642196524833,0.5700385249399522,1.5
-0.08657589688233913,0.5820723336565437,1.5
-0.0902709105067141,0.5940831631540698,1.5
-0.09404131696556228,0.6060705392655479,1.5
-0.09788696740969294,0.6180339887498948,1.5
-0.1018077100194108,0.6299730393106096,1.5
-0.10580339001051153,0.6418872196144191,1.5
-0.10987384964039038,0.6537760593098849,1.5
-0.11401892821427095,0.6656390890459732,1.5
-0.11823846209154909,0.6774758404905828,1.5
-0.12253228469225186,0.6892858463490341,1.5
-0.1269002265036152,0.7010686403825179,1.5
-0.13134211508677596,0.7128237574265015,1.5
-0.1358577750835781,0.7245507334090913,1.5
-0.14044702822349708,0.7362491053693558,1.5
-0.14510969333067747,0.7479184114756009,1.5
-0.1498455863310839,0.7595581910436021,1.5
-0.15465452025977022,0.7711679845547931,1.5
-0.15953630526825924,0.7827473336744049,1.5
-0.16449074863203772,0.7942957812695611,1.5
-0.16951765475816494,0.8058128714273253,1.5
-0.17461682519299448,0.8172981494726981,1.5
-0.17978805863000868,0.8287511619865683,1.5
-0.18503115091776623,0.8401714568236125,1.5
-0.19034589506796085,0.8515585831301453,1.5
-0.19573208126359432,0.8629120913619179,1.5
-0.20118949686725784,0.8742315333018658,1.5
-0.20671792642952824,0.885516462077803,1.5
-0.21231715169747245,0.8967664321800645,1.5
-0.2179869516232642,0.9079809994790935,1.5
-0.22372710237291082,0.9191597212429756,1.5
-0.2295373773350895,0.9303021561549166,1.5
-0.23541754713009344,0.941407864330665,1.5
-0.24136737961888755,0.9524764073358782,1.5
-0.24738663991227283,0.9635073482034306,1.5
-0.2534750903801597,0.9745002514506645,1.5
-0.2596324906609486,0.985454683096583,1.5
-0.26585859767101994,0.9963702106789818,1.5
-0.27215316561432945,1.0072464032715216,1.5
-0.2785159459921127,1.0180828315007424,1.5
-0.2849466876126956,1.0288790675630128,1.5
-0.2914451366014097,1.0396346852414189,1.5
-0.2980110364106161,1.0503492599225912,1.5
-0.3046441278298335,1.061022368613468,1.5
-0.31134414899596985,1.0716535899579933,1.5
-0.3181108354036617,1.0822425042537516,1.5
