time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg
0.0,2.9637525,0.81862485,2.301279,0.012156781,-0.005303442,-0.08646422,-1.2969411363673338,1.5783339194216712,-48.40463123353621
0.008973,2.9637432,0.8184835,2.3005803,0.012076547,-0.005393908,-0.0865426,-1.2949310118821322,1.5761346668128147,-48.40412520025852
0.10789,2.9643035,0.81744254,2.2918875,0.012456567,-0.0053869523,-0.08718927,-1.29148245636638,1.5684759533266663,-48.40606096998555
0.207059,2.9650717,0.81688243,2.2833555,0.0111876875,0.0045408607,-0.087746724,-1.294721396302736,1.5638403155721652,-48.43717184742975
0.30601,2.9660542,0.8178105,2.275044,0.01475648,0.020768132,-0.0886255,-1.2894065105675294,1.5572276287000726,-48.43119093487638
0.404974,2.9667966,0.8198379,2.2664511,0.018264621,0.03554891,-0.08789588,-1.2881398169526803,1.5583365465013552,-48.42776459612636
0.50411,2.9676785,0.82338464,2.25789,0.020004947,0.051826265,-0.088032894,-1.2933335880712191,1.5689335549896004,-48.43048462372954
0.602953,2.9683914,0.8272528,2.2494056,0.016295262,0.067411415,-0.0909523,-1.2944635001870601,1.5740806875444668,-48.42813584643548
0.702092,2.9687617,0.8318777,2.2409174,0.018987812,0.08480263,-0.08877118,-1.3003996841802545,1.5709126289826743,-48.4195612518346
0.810021,2.9689732,0.8375459,2.2318683,0.01574824,0.1014127,-0.08998392,-1.3036860360754572,1.566499558976407,-48.41852978258526
0.900075,2.9690723,0.84347486,2.22432,0.016381988,0.11506305,-0.090359256,-1.3125555094947488,1.5566620524950925,-48.41071494170018
1.008017,2.969702,0.8503888,2.2153955,0.019044487,0.12865157,-0.086362496,-1.32368289760242,1.5577214003871167,-48.413315935051415
1.107074,2.9703033,0.85628533,2.2078478,0.018860396,0.14301132,-0.08930861,-1.3274200111998575,1.5485182329323726,-48.423989048615724
1.206055,2.9708323,0.86290926,2.2007172,0.019096179,0.15668386,-0.08674419,-1.3449598268431096,1.5480243675030212,-48.425306674193926
1.305102,2.9712853,0.8714463,2.1937807,0.018288542,0.1700602,-0.08878643,-1.354082203506345,1.541063920903589,-48.43237059545387
1.404087,2.9708462,0.8783438,2.1867764,0.018181346,0.17558078,-0.09103953,-1.372719788408513,1.5319151641746438,-48.4369564544489
1.503189,2.9709065,0.8837622,2.1804144,0.017057259,0.18884806,-0.08454106,-1.3756177981952253,1.5117744147583498,-48.439802518630174
1.602132,2.9716127,0.8892628,2.174151,0.03213255,0.19910426,-0.09348091,-1.3851037643930115,1.5085712612408444,-48.47988852383381
1.701197,2.9720569,0.89546883,2.167729,0.024070239,0.20864524,-0.08161765,-1.4036617466616512,1.5003854159873335,-48.49246282705541
1.800134,2.9722676,0.90163565,2.1610227,0.048098378,0.2132849,-0.09071133,-1.4064391690544977,1.4942636373379514,-48.50696142516005
1.908362,2.9731243,0.90871584,2.1530936,0.058432557,0.2160724,-0.09501943,-1.4278629874473379,1.4863335773640434,-48.52099295681443
2.007164,2.9735618,0.91522104,2.1454346,0.03818372,0.22338381,-0.101326846,-1.4610945114063505,1.4523946930494673,-48.52720777039915
2.106448,2.974797,0.92147726,2.1367424,0.055342566,0.28429446,-0.105747394,-1.5112911112921388,1.3807820421599863,-48.5709522240667
2.205195,2.9767315,0.9274434,2.1268535,0.075018816,0.22840238,-0.11106727,-1.5500806409666579,1.3504729502260673,-48.68255927517693
2.304501,2.9796894,0.93536675,2.1164134,0.07596251,0.27868268,-0.10115907,-1.6349005157341414,1.2904812980725544,-48.89035557035963
2.403467,2.9827065,0.9384319,2.1036046,0.06905741,0.24963489,-0.14885588,-2.168901038882374,1.1116649874283493,-49.43677591387544
2.502281,2.9852505,0.93306875,2.0858204,0.05253605,0.18645805,-0.21669799,-3.2024723036206177,0.22273610397858246,-49.910439749964084
2.601253,2.989666,0.9262075,2.0661151,0.079250805,0.19072871,-0.20776673,-4.2037536114312966,-1.2151866043587065,-50.157202390742775
2.709572,2.9958143,0.91608584,2.0473144,0.08303838,0.11194426,-0.16622648,-5.152332080928862,-2.117313528818391,-50.65004850656747
2.808248,3.0026686,0.9036453,2.0339024,0.08324515,0.07852538,-0.10719499,-4.823142549852248,-2.7648562363003752,-51.32498665708566
2.9074,3.0108562,0.894356,2.022363,0.075438544,0.33958316,-0.27702296,-4.345870336523176,-2.440788198990195,-52.00367737052436
3.006526,3.020018,0.8993786,2.0020561,0.12048021,0.30534202,-0.17870757,-5.236514642247603,-4.141248300562527,-52.827262986783055
3.105361,3.0311172,0.8979656,1.994734,0.1296585,0.24688591,-0.074250445,-4.660141996548476,-3.1430861480272356,-53.796774162308495
3.204374,3.0414672,0.900046,1.9877965,0.101566836,0.29656407,-0.13142021,-4.281174716391262,-1.851511023540921,-55.02589211870683
3.303687,3.0512252,0.90740323,1.9772348,0.13923205,0.2911569,-0.11999555,-4.043027812812017,-1.2090952172311444,-55.96790868914338
3.402351,3.0619795,0.9118594,1.9692883,0.1607478,0.31917447,-0.13033222,-3.4852392523628093,-0.4818858860926046,-56.72830718704279
3.501363,3.072495,0.9165298,1.9625828,0.14136261,0.29723126,-0.13845877,-2.9397323680942136,0.4229433637316126,-57.51513817825179
3.609438,3.0838783,0.9204864,1.9536656,0.16120526,0.24167025,-0.15674606,-2.3961745945760526,0.9192205019170251,-58.326230427406486
3.69944,3.0922465,0.9195827,1.9431814,0.116053246,0.19611843,-0.16121146,-2.340646362245953,0.9784768329501802,-58.917995425394544
3.80744,3.0999892,0.91672325,1.9304545,0.11500236,0.21332555,-0.20661817,-2.3621002997533878,0.9146389488055671,-59.71484011568745
3.906399,3.1067252,0.91408277,1.9179534,0.12524079,0.17959298,-0.1962953,-2.417130725110212,0.7789362351527265,-60.354722685047285
4.005399,3.1124377,0.9092219,1.9055816,0.14420612,0.17888989,-0.21581437,-2.501423211531924,0.7903245645635806,-61.133111751404705
4.104513,3.1174376,0.9051251,1.8933139,0.12236558,0.14755987,-0.17986357,-2.524633846817062,0.684463037820965,-61.91602428802352
4.203731,3.1214778,0.9006662,1.880921,0.09327514,0.15208773,-0.2166278,-2.5348246899554168,0.720090255327404,-62.41849211177044
4.302438,3.1233702,0.89836884,1.867327,0.050108906,0.12980957,-0.20509994,-2.6008306718021252,0.6498292810550409,-62.50800843644026
4.4015,3.122945,0.89415777,1.8555732,0.052920405,0.13831462,-0.19979338,-2.609322677373309,0.6669168879839371,-62.415206558672644
4.509607,3.1220474,0.88673383,1.8432343,0.06809501,0.09680435,-0.21579868,-2.6372598963746405,0.6447275598208795,-62.30279879046347
4.599667,3.1203785,0.8801226,1.833567,0.040783484,0.08990975,-0.20005235,-2.6648146364250436,0.6447461161117833,-62.11592623164952
4.707487,3.1183639,0.8721316,1.8222079,0.050241984,0.055707242,-0.2061296,-2.6607739893905733,0.6584212522932258,-61.96406014366938
4.806527,3.1165571,0.8645284,1.8122463,0.071793206,0.09969037,-0.2107907,-2.715591982820981,0.6242163838456906,-61.75557837411368
4.905552,3.1136885,0.85669076,1.8029735,0.023754027,0.08397863,-0.19617543,-2.703357814860999,0.6143742208118463,-61.59678697209533
5.004649,3.111931,0.848608,1.7947896,0.009243782,0.050553,-0.19932353,-2.722729228947666,0.6575045303571373,-61.47043706923835
5.103606,3.109894,0.8411961,1.785655,0.033084013,0.04960853,-0.26349324,-2.890732686786852,0.43527688561743166,-61.28833228316743
5.202676,3.106444,0.82993865,1.7641063,0.0031077676,-0.02829383,-0.42530668,-4.182328847806424,-1.4354801706124105,-61.164402572019746
5.301567,3.1028154,0.81721026,1.7264551,-0.046938743,-0.084577955,-0.5510829,-3.056592605233092,-1.7128631338968414,-61.600246757605
5.400679,3.0978513,0.80173177,1.6864605,0.0058814,-0.10037719,-0.54857004,-1.2899942901972483,-0.8667906317701037,-62.23290545272044
5.508593,3.096163,0.7816116,1.6467553,0.07855138,-0.15275134,-0.46925586,0.38937109751463106,0.23454231229306013,-62.947849380410446
5.607693,3.0996716,0.76503825,1.612927,0.048616096,-0.11546596,-0.47665888,1.5932696341197718,1.3530839074086958,-63.546874651694
5.706621,3.1082616,0.7532558,1.5806304,0.091440395,-0.041141924,-0.45550007,2.7548621806878795,2.2490916764802726,-64.18053316288358
5.805727,3.121914,0.747417,1.5521265,0.14971243,0.025674686,-0.40729102,3.1706261581317663,3.0993162263574847,-64.74902423462423
5.904753,3.1430497,0.7496933,1.5255864,0.27493733,0.0858656,-0.39352113,4.908033859031748,3.850502737007039,-65.35684375114218
6.003692,3.1703594,0.7632882,1.5011549,0.3422642,0.1714715,-0.345315,4.704938477722758,4.226671214029317,-65.79648177569341
6.102687,3.205781,0.7879809,1.4787574,0.41932634,0.25777096,-0.3364171,5.014334143395632,4.504605135956413,-66.36411234905329
6.210726,3.2500384,0.82628655,1.457744,0.48453504,0.3711857,-0.28368828,5.039639413844833,4.563144339115776,-66.90910670574917
6.300782,3.2922175,0.8672521,1.4402511,0.5336166,0.46725237,-0.30835417,4.713772923084514,4.352261016609116,-67.34531925921921
6.408813,3.3495326,0.9256591,1.4205374,0.59323895,0.5564661,-0.32050526,4.726960559928542,4.299113027746642,-67.80496419779047
6.507739,3.4051511,0.9866036,1.4067692,0.6108298,0.64530134,-0.32783186,4.220501675433859,4.2769805586882645,-68.22044952865994
6.606818,3.4681141,1.0598874,1.3921933,0.7066198,0.71699095,-0.28586474,4.54505817011865,4.159967866208271,-68.70805179349344
6.705823,3.5353255,1.1433986,1.3791646,0.73753345,0.80237544,-0.26633218,4.292398658563869,3.7923545195869655,-69.01770147133536
6.804889,3.6073744,1.2359725,1.3674254,0.78461415,0.9066505,-0.27781072,4.232524847435918,3.3752663923362562,-69.28033649302866
6.903842,3.6872375,1.3394287,1.3563086,0.8581923,0.9610295,-0.25348407,3.719034777529893,3.3367312102456017,-69.3957970851909
7.002834,3.769535,1.4459584,1.3489146,0.912243,1.0169228,-0.21967857,3.3967576173981806,2.76883598650031,-69.52192994576113
7.101881,3.8546739,1.5617188,1.3383702,0.95552945,1.044066,-0.23699489,2.95216865081282,2.5810716632366564,-69.59373908248956
7.20089,3.942432,1.6820024,1.3272322,1.0077736,1.0678022,-0.23021664,1.8724157121133556,1.9572486763558192,-69.6084954268482
7.308876,4.045264,1.818047,1.312032,1.0547138,1.1130095,-0.26794872,1.8107755421480194,1.5785431539911279,-69.68997991998593
7.398856,4.132785,1.9327793,1.3016025,1.0275139,1.1304157,-0.26894838,1.2975615230466206,1.006525919720718,-69.78263060702467
7.506892,4.2375646,2.0751157,1.2939224,1.0899314,1.1662154,-0.25120434,1.5447643092229228,0.6089179916189806,-69.77094741329871
7.605941,4.335092,2.2076066,1.2865736,1.1189053,1.1382246,-0.21362263,1.0604824352804738,0.6495875785138576,-69.66885476816972
7.70496,4.43393,2.3424602,1.2806257,1.1032101,1.144022,-0.21937707,0.6138739285965733,0.3773026388909016,-69.64287487927467
7.80396,4.537057,2.47813,1.2732624,1.08584,1.1680955,-0.24946016,0.22756978842989245,0.18392870280815932,-69.64209288705851
7.902946,4.641184,2.611658,1.2658203,1.1150433,1.1541728,-0.2736675,-0.33196813472689723,-0.14005429719323162,-69.6830980763309
8.002055,4.746212,2.7439685,1.2588866,1.1554228,1.1175827,-0.2678556,-0.6158420160929029,-0.35404024730183975,-69.67710010539189
8.100988,4.8548093,2.8759866,1.2509984,1.1441057,1.0614376,-0.26570955,-0.7752378716670508,-0.47731492772572637,-69.59648816143915
8.209044,4.973379,3.016448,1.2433349,1.1069921,1.0884701,-0.26175347,-0.3006016966834402,-0.540260445215535,-69.51850574617806
8.308255,5.0836444,3.1405365,1.2356076,1.182119,1.0266315,-0.2197747,-0.7393704844157749,-0.522129562983345,-69.36315906575668
